Winery Khareba Kazbek Peak Red Semi Dry;9;0;1;2019;31;1;"U źródeł winiarstwaDzięki odkryciu na terenie Kaukazu ponad 8000-letnich ziaren winorośli Rkatsiteli w glinianych naczyniach, uznaje się, że Gruzja jest najstarszym regionem winiarskim na świecie. To właśnie na terenie Gruzji po raz pierwszy udomowiono ""dzikie"" winorośle, tam też odkryto ślady pierwszego świadomego wytwórstwa wina. Od czasów starożytnych wino tworzy się tam w ogromnych, glinianych kadziach, które zakopuje się w ziemi na okres nawet 3 lat.Gruzińskie wino w PolsceMarka Kazbek Peak została stworzona specjalnie z myślą o polskich miłośnikach wina i ich słodko-lubnych podniebieniach. Winiarnia Khareba, która jest producentem wina, sięga jednocześnie do starożytnych metod jak i nowoczesnych technologii produkcji. W rezultacie wytwarza wysokiej jakości wina o charakterystycznym, owocowym smaku i gorącym, gruzińskim temperamencie, które uwielbiane jest na polskim rynku winiarskim.Smak i aromat KaukazuKazbek Peak Pirosmani zostało wyprodukowane z autochtonicznego szczepu Kaukazu znanego na całym świecie Separavi. Szczep ten uważany jest za najlepszy wśród wielu odmian winorośli typowych dla gruzińskiego winiarstwa. Nazwa ""separavi"" (czyli ""barwnik"") została przyjęta za sprawą szczególnie dużej zawartości czerwonego barwnika w owocach. Dzięki niemu wino odznacza się przepiękną rubinową barwą z granatowymi refleksami.Czerwone, wytrawneWyprodukowane w 100 % ze szczepu Separavi. Ma głęboką, purpurową barwę, którą zawdzięcza wyjątkowym skórkom owoców. Wino charakteryzuje się intensywnym, owocowym bukietem z nutami dojrzałych wiśni. Harmonijny smak o przyjemnej, subtelnej wytrawności przywodzi na myśl świeże truskawki i jeżyny. Zarówno smak i zapach Kazbek Peak są kwintesencją wielowiekowej kultury wytwarzania wina.Gruzińska ucztaDoskonale skomponuje się z tradycyjną kuchnią gruzińską, lecz nie tylko. Sprawdzi się w połączeniu ze smażonymi lub pieczonymi warzywami, aromatycznymi chaczapuri i innymi daniami mącznymi kuchni kaukaskiej. Warto po nie sięgnąć także jako dodatek do pizzy, makaronów, duszonych i pieczonych mięs i półtwardych serów.Gruzińska elegancjaButelka, w której zamknięto wino udekorowana została tradycyjnymi gruzińskami wzorami, które sprawiają, że trunek wyróżnia się na tle innych win. Ciemne szkło butelki idealnie współgra ze zdobieniami w odcieniu miedzi i kontrastującą, kremową etykietą przedstawiającą flagę Gruzji i nazwę wina zarówno w języku polskim jak i gruzińskim."
Jeio Bisol Prosecco Superiore Valdobbiadene Brut DOCG Magnum;1;1;0;2003;179;2;"Znakomite Prosecco Superiore w powiększonej wersji to dwa razy więcej przyjemności z degustacji wyśmienitego musującego wina. Orzeźwiający smak i subtelny aromat tego trunku zadowoli każdego miłośnika Prosecco, warto więc wykorzystać wino o pojemności 1,5 litra jako prezent dla prawdziwego fana bąbelków!1,5-litrowa butelka to także doskonały pomysł na przyjęcie w większym gronie, na którym królować będą popularne drinki na bazie Prosecco, takie jak Aperol Spritz, Bellini czy Mimosa. Duża butelka zapewni gościom niezapomniane wrażenia ze spotkania.V wieków winiarskiej historiiPierwsze wzmianki o winiarskiej działalności rodziny Bisol w historycznym regionie produkcji Prosecco, znaleźć można w dokumentach pochodzących z XVI wieku. Od tamtej pory uprawianie winorośli i produkcja wina była kultywowana przez rodzinę z jedną tylko przerwą, którą wymusił wybuch I Wojny Światowej. Gdy światowa sytuacja wróciła do normy, winiarskim biznesem zajął się na nowo Desiderio Bisol, a było to w latach 20. XX wieku. Następnie firma została przekazana jego dzieciom, a dziś prowadzona jest przez jego wnuki. I w ten właśnie sposób winiarnia doczekała się kierownictwa 21-wszego pokolenia rodziny Bisol.Z miłości do wina i miłości do rodzinyWino otrzymało nazwę ""Jeio"" dzięki Giovannie Bisol, żonie Desiderio, która pieszczotliwie nazywała męża właśnie w ten sposób. Trunek jest więc wyrazem miłości rodzinnej oraz miłości do winnic szczepu Glera, które członkowie rodziny Bisol pielęgnują z najwyższą starannością i czułością.Najwyższe odznaczenie apelacjiStrome winnice, z których pochodzą owoce, należące do marki wymagają jedynie ręcznej pielęgnacji, zaangażowania i wysiłku. Dzięki temu, z jaką troską tworzone są tam wina i jak wspaniałą jakość prezentują, obszar upraw między wzgórzami Valdobbiadene i Conegliano otrzymał najwyższą apelację ""D.O.C.G. Conegliano Valdobbiadene"". Jest to naturalne potwierdzenie historycznego pochodzenia terytorium i najwyższej jakości produkowanych w tym miejscu win.Musujące, białe, wytrawne, orzeźwiająceWino stworzone jest w min. 85% ze szczepu Glera, czego wymaga przynależność do apelacji. Charakteryzuje się jasno-słomkową barwą i finezyjnymi, trwałymi bąbelkami. Elegancki, świeży bukiet otwiera się aromatami dojrzałych białych brzoskwiń i kwiatu pomarańczy. Na podniebieniu ujawnia się mineralność wzgórz, na których uprawiane są owoce oraz delikatna, orzeźwiająca kwaskowatość nadana przez terroir regionu Valdobbiadene.Delikatne mięso, owoce morza i seryTrunek ten szczególnie dobrze wypada jako aperitif, ponieważ pobudza apetyt i dodatkowo oczyszcza kubki smakowe. W roli dodatku do posiłku najlepiej łączyć je z gotowanym na parze mięsem indyczym serwowanym z chutneyem mango lub smażonymi ośmiorniczkami na maśle z dodatkiem skórki cytryny. Równie dobrze posmakuje z sałatką ze świeżych warzyw i zapiekanym kozim serem.Nowoczesny designButelka utrzymana jest w eleganckim, nowoczesnym designie. Smukły kształt i czarne szkło są doskonałym tłem pod kaptur obleczony na szyjce o barwie świeżej, wiosennej trawy i czarnej etykiety z białymi i zielonymi elementami. Środek etykiety zajmuje duża nazwa wina, pod którą widnieją geometryczne imitacje winnic umiejscowionych na wzgórzach. Nad nazwą znajduje się nazwa apelacji, do której wino należy. Całości dopełnia jeszcze tłoczenie na froncie, którym jest logotyp marki."
Eco Gaia Organic Semi Dry Verdejo;0;1;1;2020;22.9;3;"Ekologiczna marka winiarskaEco Gaia to marka, która łączy w sobie miłość do wina z miłością do ekologii i planety, na której wszyscy żyjemy. Dlatego wszystkie produkty pod etykietą Eco Gaia tworzone są za pomocą wyłącznie naturalnych metod produkcji, przy użyciu owoców ekologicznie uprawianych winorośli i ze szczególną troską o ziemię, która wykorzystywana jest pod winnice. Ekologiczne i organiczne działanie marki poświadczone jest europejskimi certyfikatami zrównoważonej uprawy i naturalnej produkcji.Matka naturaNazwa wina została zainspirowana mityczną postacią boginią ziemią, która nosiła imię Gaia. Według starożytnych Greków była to pierwsza bogini i matka wszystkich pozostałych bogów, roślin, zwierząt i całej przyrody. Dziś jest doskonałym symbolem dla ekologicznych przedsięwzięć.Białe, półwytrawne, o aromacie jabłek i limonekWino wyprodukowano w 100% z hiszpańskiej odmiany białej winorośli Verdejo. Ma wyjątkowo jasną, słomkową barwę. W bukiecie dominują aromaty zielonych jabłek i dojrzałych gruszek z nutami limonek, brzoskwiń i słodkich przypraw w tle. W smaku orzeźwiające dzięki wyraźnie zaznaczonej kwasowości objawia się posmakiem słodkich brzoskwiń i znaczną świeżością. Aromatyczne i przyjemne w smaku wino, które zadowoli miłośników delikatnych smaków.Kuchnia wegetariańska, owoce morza lub delikatne mięsoŚwietnie sprawdzi się w roli aperitifu, który rozbudzi apetyt a także jako towarzysz starterów: deski miękkich serów typu Brie, przystawek z guacamole i delikatnych wędlin jak Prosciutto Crudo. Komponuje się także z daniami głównymi na bazie drobiu i owoców morza, doskonale posmakuje zestawione z sałatką Caesar, smażonymi na maśle krewetkami z kolendrą i sokiem z limonki lub pieczonym kurczakiem w oregano.Wino prosto z łąkiButelka utrzymana jest w niezwykle przyjemnym i radosnym stylu. Klasyczny kształt i jasne szkło zestawione zostało z soczyście zielonym kapturem na szyjce oraz szeroką etykietą o jasnym tle z wielokolorowymi elementami. Po środku etykiety umieszczono dużą nazwę marki w kolorach soczystej zieleni i fuksji, którą otaczają różnokolorowe kwiaty i gałązki, które wyglądają, jak gdyby dopiero co zostały zerwane z łąki. Całości dopełnia umieszczony na samym dole symbol poświadczający organiczne pochodzenie wina oraz urocza biedronka, która występuje w roli kropki nad literką ""i""."
Armenia Yerev Pomegranate;9;0;3;2020;34.9;12;Doceniana ormiańska winiarniaSwoją winiarską przygodę Armenia Wine rozpoczęła w roku 2006 od zasadzenia pierwszej winnicy i uprawy winorośli. Po dwóch latach działalność firmy rozszerzyła się budując własną winiarnię i tworząc własną linię winiarską. W winach Armenia Wine stara się odzwierciedlić miłość winiarzy do swojego kraju, jego kultury i tradycji oraz przyrody. Ich starania nie zostają niedocenione, ponieważ produkty marki coraz częściej nagradzane są i wyróżniane na międzynarodowych konkursach winiarskich.Pierwszy winiarski kraj świataNa terenie dzisiejszej Armenii, w górskim regionie Vayots Dzor w jednej z jaskiń o nazwie Areni odnaleziono najstarszą piwnicę z winami, której wiek ocenia się na 6200 lat. To czyni z Armenii pierwszy winiarski kraj świata, którego mieszkańcy świadomie rozpoczęli produkcję trunku alkoholowego z owoców winnej latorośli.W Armenii panują wymagające warunki pod uprawę winorośli, nakreślone przez suchy i kontynentalny klimat poprzecinany wysokimi pasmami górskimi, glebami pochodzenia wulkanicznego i niezwykle wysokimi temperaturami powietrza. Z tego względu winnice w Armenii położone są na dużych wysokościach stromych wzgórz, gdzie lokalne odmiany winogron dojrzewają soczyste i słodkie.Czerwone, słodkie, o smaku owocu granatuArmenia Yerev Pomegrante to połączenie wysokiej jakości wina wyprodukowanego z blendu odmian Areni i Haghtanak oraz soku z najlepszych, wyselekcjonowanych owoców granatu z ormiańskich upraw. Ma głęboką barwę granatu oraz intensywny bukiet, w którym łączą się aromaty leśnych jagód i pestek owocu granatu. Na podniebieniu aksamitna konsystencja rozpływa się wyraźnym słodkim, owocowym posmakiem.Do czekoladowych deserówJest to doskonały trunek dla wszystkich miłośników czekolady i wypieków na bazie tej słodkości, ponieważ idealnie się z nimi komponuje. Najlepiej łączyć je z brownie z sosem malinowym lub tartą na kruchym spodzie z kremem mascarpone z mleczną czekoladą, udekorowaną świeżymi truskawkami.Eleganckie i styloweKlasyczna butelka z czarnego szkła ozdobiona została czarnym kapturem na szyjce ze złotym logotypem marki oraz czarną szeroką etykietą z dekoracyjnymi elementami w kolorze połyskującego srebra. Na etykiecie widnieje duży owoc granatu, a za nim w tle rysunek przedstawiający winnice pod górą Ararat oraz nazwa wina w kolorze owocu. Całość zamknięta jest w szykownej, dekoracyjnej ramce. Pod granatem znajduje się logotyp firmy w czerwonym kolorze oraz kolejna, wąska etykieta o białym tle, na której czerwoną czcionką umieszczono nazwę wina.
Zulus Semi Dry Red;2;0;1;2021;21.89;99;Winnica z Południowej AfrykiZimmerman Vineyards została otwarta dokładnie 1 czerwca 2007 roku, stając się pierwszą komercyjną winnicą hrabstwa Randolph. Każde wino Zimmerman produkowane jest wyłącznie z winogron uprawianych w winnicy należącej do firmy. Winnica mieści się na 140 akrach u podnóża pięknego Mt. Pasterz, skąd rozciąga się malowniczy panoramiczny widok na całą okolicę.Czerwone, półwytrawne, intensywnie owocoweWino jest kupażem dwóch szczepów: Ruby Cabernet oraz Cinsault. Ma rubinową barwę i intensywny bukiet wypełniony aromatami czerwonych owoców: truskawek, wiśni i czerwonych porzeczek. Na podniebieniu jest dobrze zbalansowane między orzeźwiającą kwasowością, a słodyczą i niezwykle przyjemne dzięki miękkiej konsystencji o owocowym posmaku.Do makaronów, mięsa i serówNajlepiej skomponuje się z makaronami w mięsnych sosach, np. fussilli z boczkiem i pieczarkami ze świeżą natką pietruszki lub spaghetti bolognese. Równie dobrze posmakuje w połączeniu z pieczonym schabem w marynacie ziołowej i deską twardych serów typu Parmezan czy Pecorino. Serwuj w temperaturze 17-19⁰C.Dumne z pochodzeniaSmukłą butelkę z ciemnego szkła zdobi wąska etykieta w kolorze kremowo-beżowym, w której tle widnieje rysunek przedstawiający kontynent Afryki rozciągający się również na drugą, mniejszą etykietę w kolorze brązowym. Na górnej etykiecie widnieje miejsce produkcji oraz logotyp kolekcji winiarskiej, nazwa wina i kilka informacji na jego temat. Szyjkę obleczono czarnym kapturem logotypem.Dzięki temu, że butelka zamykana jest metalową zakrętką Zulus jest doskonałym pomysłem na trunek na piknik, dużą uroczystość rodzinną czy wesele, czyli wszędzie tam, gdzie korzystanie z otwieracza jest niewygodne lub niemożliwe.
Mołdawska Dolina Chardonnay Semi Dry;11;1;1;2021;19.9;100;Reprezentant mołdawskiego winiarstwaWiniarnia Bostavan powstała w 2002 roku, a w 2002 wyprodukowała swoje pierwsze butelki wina. Dwa lata później stała się jednym z największych eksporterów wina w Mołdawii. Wina od Bostavan znaleźć można w ponad 30 krajach na całym świecie, m.in. w Stanach Zjednoczonych, Wielkiej Brytanii, Niemczech, Belgii, Rumunii, Polski, Czechach, Rosji, na Ukrainie, Białorusi, Korei i Chinach. Dolina to wiodąca marka dla winiarni Bostavan oraz wiodąca marka mołdawskiego wina na polskim rynku i szósta najsilniejsza marka winiarska w Polsce.Białe, półwytrawne, o aromacie owoców egzotycznychWino zostało stworzone w 100 % z owoców szlachetnego szczepu Chardonnay. Ma jasno-słomkową barwę z delikatnymi złocistymi refleksami. W bukiecie dominują aromaty owoców egzotycznych: ananasa, mango i dojrzałego melona z nutami brzoskwiń i subtelnymi niuansami białych kwiatów. W smaku orzeźwiające i lekkie, doskonałe dla delikatnych podniebień, o stonowanej słodyczy i kwiatowych tonach.Do drobiu, warzyw i lekkich deserówTrunek ten z powodzeniem może towarzyszyć podczas trzy daniowej kolacji, ponieważ skomponuje się zarówno z przystawkami np. sałatką ze świeżym szpinakiem, ananasem i serem brie, daniem głównym typu smażona na maśle pierś kurczaka z dodatkiem pieczonych pieczarek nadziewanych mozzarellą, jak i deserem pana cotta ze świeżą miętą lub tartą cytrynową z kremem waniliowym.Eleganckie opakowanieWino zamknięto w klasycznej butelce z jasnego szkła, którą ozdobiono kapturem obleczonym na szyjce oraz dwoma etykietami. Kaptur na szyjce w kolorze soczystej zieleni ze złotym zdobieniem idealnie komponuje się z kolorystyką etykiet. Górna etykieta to zdjęcie przedstawiające winnice Mołdawii podczas letniego zachodu słońca, nad którym góruje nazwa producenta w złotej ramce oraz pod zdjęciem nazwa marki na zielonym tle. Dolna etykieta o białym tle zawiera subtelny rysunek mołdawskich wzgórz w tle oraz informacje dotyczące trunku. Dodatkowej elegancji dodają złote ozdobne elementy.
